algo,settings,numeric_type,problem,optval,elapsed_seconds,warnings,errors
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,BB84(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qutrits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qutrits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,2qutrits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qutrits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qutrits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,3qutrits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qubits(1),1.2549350272184832,25.0180601,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qubits(1),1.2549349960643177,24.4915273,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,2qubits(1),1.2549344493592418,26.5418423,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qubits(1),1.5315837236968899,26.384784,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qubits(1),1.531583569528324,25.8218552,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,3qubits(1),1.5315809630022876,144.9346841,false,true
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,Y(1),1.4226497385782253,29.0800987,true,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,Y(1),1.4226497372005802,26.2719686,true,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,Y(1),1.4226490196466606,141.1404839,false,true
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,BB84(1),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,BB84(1),1.7094305493549533,68.3456832,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,BB84(1),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qutrits(1),1.2551450448490824,31.3867835,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qutrits(1),1.255145044849353,31.3980755,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,2qutrits(1),1.2551424930051753,212.7907068,false,true
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qutrits(1),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qutrits(1),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,3qutrits(1),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qubits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qubits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,2qubits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qubits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qubits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,3qubits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,Y(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,Y(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,Y(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,BB84(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,BB84(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,BB84(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qutrits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qutrits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,2qutrits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qutrits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qutrits(2),NaN,NaN,false,false
MISDP (dB^2),"Pajarito(SCS, Cbc, MSD=false)",Float64,3qutrits(2),NaN,NaN,false,false
